Код,Артикул (с /),Артикул,Доп. поле: Артикул на сайте WB,Штрихкод EAN13,Группы,Код_1,Наименование,Артикул_2,Цена: Цена закупки в юанях,Закупочная цена,Штрихкод EAN13_3,Штрихкод EAN8,Вес,Доп. поле: Артикул на сайте WB_4,Доп. поле: ABC анализ,Доп. поле: Логистика (Кит-Мск),Доп. поле: Дата поступления первого остатка,Остаток,Продаж в день
01700,1700,1700,158190664,2000000016702,Дом,01700,"Чистящие средство для унитаза, бутыль в бачок - Голубая коробка",1700,"3,8","292,0",2000000016702,1700,"0,38",158190664,Sale,"34,5",,0.0,
01577,1577,1577,148945240,2000000014555,Для животных,01577,Декор для аквариума кот-рыболов трехцветный,1577,"3,0","132,0",2000000014555,1577,"0,01",148945240,New,"28,1",,0.0,
01702,1702,1702,154126102,2000000021331,Красота,01702,"Воск стик для фиксации волос, 75 г",1702,"5,6","199,0",2000000021331,1702,"0,07",154126102,B1 TOP,"34,5",,154.0,
01703,1703,1703,158193833,2000000016726,Для малышей,01703,Детский набор для маникюра (голубой) B,1703,"25,5","536,0",2000000016726,1703,"0,24",158193833,A1,"34,5",,0.0,
01704,1704,1704,158193987,Некорректные данные: + 2000000016931,Для малышей,01704,Детский набор для маникюра (розовый),1704,"20,5","512,0",Некорректные данные: + 2000000016931,{'ean13': '2000000016931'},"0,24",158193987,A1 TOP,"34,5",,0.0,
01705,1705,1705,152312542,Некорректные данные: + 2000000016658,Красота,01705,"Загуститель консилер для волос, черный",1705,"10,0","218,0",Некорректные данные: + 2000000016658,{'ean13': '2000000016658'},"0,04",152312542,Sale,"34,5",,0.0,
01706,1706,1706,152316582,Некорректные данные: + 2000000016733,Красота,01706,"Загуститель консилер для волос, русый light brown",1706,"10,0","218,0",Некорректные данные: + 2000000016733,{'ean13': '2000000016733'},"0,04",152316582,Sale,"34,5",,0.0,
00942,942,942,86836283,2000000005898,Спортивные товары,00942,"Подушка на седло велосипедное, силикон, ткань, цвет: черный",942,"3,3","167,0",2000000005898,942,"0,1",86836283,Season,"34,5",,0.0,
01707,1707a,1707a,166714430,Некорректные данные: + 2000000016917,Красота,01707,"Загуститель консилер для волос, средне-корич medium",1707a,"10,0","218,0",Некорректные данные: + 2000000016917,{'ean13': '2000000016917'},"0,04",166714430,Sale,"34,5",,0.0,
01708,1708a,1708a,166710000,Некорректные данные: + 2000000016764,Красота,01708,"Загуститель консилер для волос, темно-корич dark",1708a,"11,0","240,0",Некорректные данные: + 2000000016764,{'ean13': '2000000016764'},"0,04",166710000,Sale,"34,5",,32.0,
